variant,rounds,min_active,active_status,min_weight,weight_status,seconds,calls,n_vars,n_clauses
cipher-D-lin444-297-aes,1,1,exact,6,exact,0.091,2,1016,93666
cipher-D-lin444-297-aes,2,4,exact,24,exact,1.410,5,3984,191352
cipher-D-lin444-297-aes,3,8,exact,50,exact,53.626,11,10312,295750
cipher-D-lin444-297-aes,4,11,exact,73,exact,633.613,19,18880,404631
